enzyme,color,lat,lon,Environment group,repeat_count
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,19.5,-96.0,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,19.856667,109.231667,Intertidal sediment / beach sand▲,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,19.8567,109.2317,Intertidal sediment / beach sand▲,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,19.86,109.23,Intertidal sediment / beach sand▲,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,20.31,-94.13,Surface seawater●,2
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,22.1,119.28,Deep-sea / chemosynthetic sediment⬟,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,22.56,-63.73,Plastisphere / marine biofilm✕,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,22.5675,114.4555,Surface seawater●,2
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,22.75,-158.0,Deep seawater▼,6
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,22.75,-158.0,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,22.7546,-158.0067,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,23.2469494,119.6679559,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,24.43,-65.55,Plastisphere / marine biofilm✕,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,24.55,-81.78,Surface seawater●,6
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,24.56,-81.4,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,24.59,-81.4,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,24.9963,-67.0246,Marine host-associated⬡,2
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,25.102204,-80.438708,Mangrove sediment✚,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,25.188,-159.284,Deep seawater▼,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,25.4,66.1,Mangrove sediment✚,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,25.408,-159.377,Deep seawater▼,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,25.86,-68.99,Plastisphere / marine biofilm✕,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,25.944,-158.273,Deep seawater▼,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,26.16,-80.1,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,26.196,-158.156,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,26.201,-158.477,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,26.475,-158.313,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,26.5042,-66.9964,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,27.5,120.3,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,28.33,121.18,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,29.47,121.58,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,29.928,122.422,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,29.949,122.091,Plastisphere / marine biofilm✕,2
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,30.19,130.1,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,31.4,-64.1,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,31.557,130.564,Plastisphere / marine biofilm✕,2
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,33.165,126.272,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,34.365,133.217,Plastisphere / marine biofilm✕,3
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,34.4027,-119.53483,Intertidal / coastal seawater★,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,34.42,34.0,Deep seawater▼,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,34.51,138.21,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,36.04,120.26,Surface seawater●,3
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,36.178,133.277,Plastisphere / marine biofilm✕,4
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,36.25,-122.2099,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,36.36,120.7,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,36.9,-75.93,Plastisphere / marine biofilm✕,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,36.95428158,126.81518554,Intertidal sediment / beach sand▲,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,37.09,122.35,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,37.12,142.42,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,37.562,122.121,Marine host-associated⬡,2
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,38.35,1.67,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,38.47,128.43,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,38.55,13.18,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,38.58,-76.42,Plastisphere / marine biofilm✕,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,38.99,2.65,Marine host-associated⬡,2
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,39.48,7.24,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,39.54,116.26,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,40.0,-32.0,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,41.524998,-70.673098,Intertidal sediment / beach sand▲,2
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,42.12574,139.99966,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,42.25,-70.54,Intertidal sediment / beach sand▲,3
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,42.42,-70.907,Intertidal sediment / beach sand▲,3
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,43.0,34.0,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,43.49,7.9,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,49.5078,-124.8272709,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,54.331849,10.144127,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,74.305,-85.6552,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,79.7913,1.7609,Polar sea ice / cryosphere◆,2
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,22447445.1,22447445.1,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,58135875.1,58135875.1,Plastisphere / marine biofilm✕,1
Glutathione peroxidase (WP_026826575.1),#0072B2,-19.9326,146.519,Plastisphere / marine biofilm✕,1
Glutathione peroxidase (WP_026826575.1),#0072B2,0.0,160.0,Surface seawater●,1
Glutathione peroxidase (WP_026826575.1),#0072B2,5.3302,100.309,Plastisphere / marine biofilm✕,1
Glutathione peroxidase (WP_026826575.1),#0072B2,15.12,108.8,Marine host-associated⬡,1
Glutathione peroxidase (WP_026826575.1),#0072B2,19.909,115.243,Deep seawater▼,2
Glutathione peroxidase (WP_026826575.1),#0072B2,21.03,109.12,Mangrove sediment✚,1
Glutathione peroxidase (WP_026826575.1),#0072B2,21.5,72.5,Deep-sea / chemosynthetic sediment⬟,1
Glutathione peroxidase (WP_026826575.1),#0072B2,21.58,109.1,Mangrove sediment✚,1
Glutathione peroxidase (WP_026826575.1),#0072B2,22.59,114.552,Marine sediment■,1
Glutathione peroxidase (WP_026826575.1),#0072B2,22.75,-158.0,Deep seawater▼,1
Glutathione peroxidase (WP_026826575.1),#0072B2,22.7901,-157.9439,Surface seawater●,1
Glutathione peroxidase (WP_026826575.1),#0072B2,23.2833,116.773,Intertidal sediment / beach sand▲,1
Glutathione peroxidase (WP_026826575.1),#0072B2,24.4743,118.045,Intertidal / coastal seawater★,1
Glutathione peroxidase (WP_026826575.1),#0072B2,29.928,122.422,Intertidal sediment / beach sand▲,2
Glutathione peroxidase (WP_026826575.1),#0072B2,35.5246,134.085,Marine host-associated⬡,1
Glutathione peroxidase (WP_026826575.1),#0072B2,36.979778,-7.989111,Marine host-associated⬡,1
Glutathione peroxidase (WP_026826575.1),#0072B2,38.23,128.69,Intertidal / coastal seawater★,1
Glutathione peroxidase (WP_026826575.1),#0072B2,43.0,34.0,Marine sediment■,1
Glutathione peroxidase (WP_026826575.1),#0072B2,57.1573,9.36542,Intertidal / coastal seawater★,1
Glutathione peroxidase (WP_003945816.1),#42d4f4,-62.961333,-27.891833,Marine host-associated⬡,1
Glutathione peroxidase (WP_003945816.1),#42d4f4,16.75,112.35,Marine host-associated⬡,2
Glutathione peroxidase (WP_003945816.1),#42d4f4,24.55,-81.78,Marine host-associated⬡,2
Glutathione peroxidase (WP_003945816.1),#42d4f4,41.139783,-8.664167,Marine sediment■,1
Glutathione peroxidase (WP_003945816.1),#42d4f4,47.2768,-122.4649,Intertidal / coastal seawater★,1
